Missing-only mode: 182 unresolved player-game rows selected from 1369 rows.
Missing-only mode: 68 players to request.
Fetching pbpstats.com API game logs for playoff year 2002 (2001-02)...
  player 1/68 1065: 12 game-log rows
  player 2/68 1114: 3 game-log rows
  player 3/68 1442: 5 game-log rows
  player 4/68 1444: 5 game-log rows
  player 5/68 146: 2 game-log rows
  player 6/68 1506: 4 game-log rows
  player 7/68 1513: 15 game-log rows
  player 8/68 1520: 4 game-log rows
  player 9/68 1531: 1 game-log rows
  player 10/68 1533: 19 game-log rows
  player 11/68 1548: 4 game-log rows
  player 12/68 1594: 2 game-log rows
  player 13/68 1724: 2 game-log rows
  player 14/68 1732: 3 game-log rows
  player 15/68 1761: 7 game-log rows
  player 16/68 1800: 10 game-log rows
  player 17/68 1886: 5 game-log rows
  player 18/68 1904: 19 game-log rows
  player 19/68 1907: 1 game-log rows
  player 20/68 1909: 4 game-log rows
  player 21/68 1915: 3 game-log rows
  player 22/68 1917: 8 game-log rows
  player 23/68 1952: 3 game-log rows
  player 24/68 198: 10 game-log rows
  player 25/68 1983: 4 game-log rows
  player 26/68 201: 2 game-log rows
  player 27/68 2058: 7 game-log rows
  player 28/68 2098: 7 game-log rows
  player 29/68 216: 19 game-log rows
  player 30/68 2208: 2 game-log rows
  player 31/68 2213: 2 game-log rows
  player 32/68 2214: 1 game-log rows
  player 33/68 2215: 17 game-log rows
  player 34/68 2216: 1 game-log rows
  player 35/68 2222: 5 game-log rows
  player 36/68 2224: 5 game-log rows
  player 37/68 2243: 6 game-log rows
  player 38/68 2249: 2 game-log rows
  player 39/68 2264: 2 game-log rows
  player 40/68 283: 18 game-log rows
  player 41/68 324: 3 game-log rows
  player 42/68 344: 4 game-log rows
  player 43/68 345: 10 game-log rows
  player 44/68 359: 1 game-log rows
  player 45/68 365: 4 game-log rows
  player 46/68 417: 3 game-log rows
  player 47/68 452: 5 game-log rows
  player 48/68 56: 5 game-log rows
  player 49/68 681: 7 game-log rows
  player 50/68 685: 5 game-log rows
  player 51/68 688: 10 game-log rows
  player 52/68 690: 4 game-log rows
  player 53/68 692: 2 game-log rows
  player 54/68 699: 5 game-log rows
  player 55/68 714: 8 game-log rows
  player 56/68 727: 5 game-log rows
  player 57/68 762: 7 game-log rows
  player 58/68 764: 4 game-log rows
  player 59/68 782: 2 game-log rows
  player 60/68 915: 16 game-log rows
  player 61/68 916: 5 game-log rows
  player 62/68 934: API failed: 503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-game-logs/nba?Season=2001-02&SeasonType=Playoffs&EntityType=Player&EntityId=934
  player 63/68 95: 9 game-log rows
  player 64/68 959: 8 game-log rows
  player 65/68 960: 14 game-log rows
  player 66/68 962: 14 game-log rows
  player 67/68 966: API failed: 503 Server Error: Service Temporarily Unavailable for url: https://api.pbpstats.com/get-game-logs/nba?Season=2001-02&SeasonType=Playoffs&EntityType=Player&EntityId=966
  player 68/68 988: 5 game-log rows
pbpstats.com API lookup keys for 2002: 1,248
