date,gameId,playerName,team,opponent,nbaId,PTS,FGA,FTA,TOV,source
2002-04-28,gen_2002_20020428_BOS_PHI,Alvin Jones,PHI,BOS,2264,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_CHH_ORL,Andrew DeClercq,ORL,CHH,692,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_IND_NJN,Anthony Johnson,NJN,IND,1533,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-21,gen_2002_20020521_BOS_NJN,Anthony Johnson,NJN,BOS,1533,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-09,gen_2002_20020609_LAL_NJN,Anthony Johnson,NJN,LAL,1533,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-12,gen_2002_20020612_LAL_NJN,Anthony Johnson,NJN,LAL,1533,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DAL_MIN,Anthony Peeler,MIN,DAL,324,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_IND_NJN,Austin Croshere,IND,NJN,1506,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_SAS_SEA,Brent Barry,SEA,SAS,699,8.0,7.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-22,gen_2002_20020422_SAS_SEA,Brent Barry,SEA,SAS,699,9.0,4.0,4.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_SAS_SEA,Brent Barry,SEA,SAS,699,7.0,12.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_SAS_SEA,Brent Barry,SEA,SAS,699,3.0,3.0,0.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-03,gen_2002_20020503_SAS_SEA,Brent Barry,SEA,SAS,699,12.0,8.0,0.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-09,gen_2002_20020509_CHH_NJN,Brian Scalabrine,NJN,CHH,2243,0.0,0.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-29,gen_2002_20020529_BOS_NJN,Brian Scalabrine,NJN,BOS,2243,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-07,gen_2002_20020607_LAL_NJN,Brian Scalabrine,NJN,LAL,2243,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-20,gen_2002_20020520_LAL_SAC,Brian Shaw,LAL,SAC,216,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-28,gen_2002_20020528_LAL_SAC,Brian Shaw,LAL,SAC,216,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-30,gen_2002_20020430_CHH_ORL,Bryce Drew,CHH,ORL,1724,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_LAL_SAS,Charles Smith,SAS,LAL,1520,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-10,gen_2002_20020510_LAL_SAS,Cherokee Parks,SAS,LAL,685,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-25,gen_2002_20020425_LAL_POR,Chris Dudley,POR,LAL,201,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-04,gen_2002_20020504_DAL_SAC,Chucky Brown,SAC,DAL,359,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_BOS_PHI,Corie Blount,PHI,BOS,916,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-02,gen_2002_20020502_DET_TOR,Damon Jones,DET,TOR,1800,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_DET_TOR,Dana Barros,DET,TOR,344,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-29,gen_2002_20020429_DET_TOR,Dana Barros,DET,TOR,344,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_SAS_SEA,Danny Ferry,SAS,SEA,198,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_SAS_SEA,David Robinson,SAS,SEA,764,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_BOS_PHI,Derrick Coleman,PHI,BOS,934,9.0,7.0,6.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-25,gen_2002_20020425_BOS_PHI,Derrick Coleman,PHI,BOS,934,13.0,10.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_BOS_PHI,Derrick Coleman,PHI,BOS,934,18.0,9.0,8.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_BOS_PHI,Derrick Coleman,PHI,BOS,934,14.0,10.0,4.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-03,gen_2002_20020503_BOS_PHI,Derrick Coleman,PHI,BOS,934,10.0,6.0,2.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_BOS_PHI,Derrick McKey,PHI,BOS,365,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-02,gen_2002_20020602_LAL_SAC,Devean George,LAL,SAC,1904,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_CHH_ORL,Don Reid,ORL,CHH,690,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-22,gen_2002_20020422_IND_NJN,Donny Marshall,NJN,IND,681,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-07,gen_2002_20020507_CHH_NJN,Donny Marshall,NJN,CHH,681,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-06-12,gen_2002_20020612_LAL_NJN,Donny Marshall,NJN,LAL,681,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_BOS_PHI,Eric Snow,PHI,BOS,727,11.0,12.0,10.0,5.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-25,gen_2002_20020425_BOS_PHI,Eric Snow,PHI,BOS,727,7.0,13.0,4.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-28,gen_2002_20020428_BOS_PHI,Eric Snow,PHI,BOS,727,23.0,14.0,4.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_BOS_PHI,Eric Snow,PHI,BOS,727,7.0,5.0,2.0,4.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-03,gen_2002_20020503_BOS_PHI,Eric Snow,PHI,BOS,727,6.0,12.0,2.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-14,gen_2002_20020514_BOS_DET,Erick Strickland,BOS,DET,1065,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-27,gen_2002_20020527_BOS_NJN,Erick Strickland,BOS,NJN,1065,0.0,0.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DAL_MIN,Evan Eschmeyer,DAL,MIN,1915,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-04,gen_2002_20020504_DAL_SAC,Evan Eschmeyer,DAL,SAC,1915,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DAL_MIN,Felipe Lopez,MIN,DAL,1732,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_SAS_SEA,Gary Payton,SEA,SAS,56,19.0,13.0,4.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-22,gen_2002_20020422_SAS_SEA,Gary Payton,SEA,SAS,56,21.0,24.0,9.0,5.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_SAS_SEA,Gary Payton,SEA,SAS,56,20.0,21.0,2.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-01,gen_2002_20020501_SAS_SEA,Gary Payton,SEA,SAS,56,28.0,22.0,6.0,4.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-03,gen_2002_20020503_SAS_SEA,Gary Payton,SEA,SAS,56,23.0,26.0,8.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-04,gen_2002_20020504_DAL_SAC,Gerald Wallace,SAC,DAL,2222,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-09,gen_2002_20020509_DAL_SAC,Gerald Wallace,SAC,DAL,2222,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-13,gen_2002_20020513_DAL_SAC,Greg Buckner,DAL,SAC,1761,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-22,gen_2002_20020422_IND_NJN,Jamaal Tinsley,IND,NJN,2224,0.0,0.0,0.0,3.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-30,gen_2002_20020430_IND_NJN,Jamison Brewer,IND,NJN,2249,0.0,0.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_CHH_ORL,Jaren Jackson,ORL,CHH,1114,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-30,gen_2002_20020430_CHH_ORL,Jaren Jackson,ORL,CHH,1114,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_IND_NJN,Jason Collins,NJN,IND,2215,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-26,gen_2002_20020426_IND_NJN,Jason Collins,NJN,IND,2215,0.0,0.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-19,gen_2002_20020519_BOS_NJN,Jason Collins,NJN,BOS,2215,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DET_TOR,Jermaine Jackson,TOR,DET,1983,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_DET_TOR,Jermaine Jackson,TOR,DET,1983,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-29,gen_2002_20020429_DET_TOR,Jermaine Jackson,TOR,DET,1983,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-21,gen_2002_20020421_DET_TOR,Jerome Williams,TOR,DET,966,11.0,10.0,4.0,2.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-24,gen_2002_20020424_DET_TOR,Jerome Williams,TOR,DET,966,13.0,10.0,4.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-27,gen_2002_20020427_DET_TOR,Jerome Williams,TOR,DET,966,3.0,4.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-29,gen_2002_20020429_DET_TOR,Jerome Williams,TOR,DET,966,5.0,5.0,2.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-02,gen_2002_20020502_DET_TOR,Jerome Williams,TOR,DET,966,4.0,4.0,0.0,1.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-30,gen_2002_20020430_IND_NJN,Jonathan Bender,IND,NJN,1886,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-20,gen_2002_20020420_CHH_ORL,Jud Buechler,ORL,CHH,146,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-23,gen_2002_20020423_CHH_ORL,Jud Buechler,ORL,CHH,146,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-05-12,gen_2002_20020512_BOS_DET,Kedrick Brown,BOS,DET,2208,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-30,gen_2002_20020430_CHH_ORL,Kirk Haston,CHH,ORL,2213,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
2002-04-23,gen_2002_20020423_SAC_UTA,Lawrence Funderburke,SAC,UTA,1444,0.0,0.0,0.0,0.0,unavailable: game rows do not include scoring-TOV/heave/z-board/tech-FTA ingredients
