game_id,actionNumber,actionType,period,clock,clock_display,game_clock,scoreHome,scoreAway,teamId,playerName,description,previous_action,next_action,score_margin,leverage_bucket
22200193,7,2pt,1,PT11M54.00S,11:54,Q1 11:54,0,2,1610612750.0,Edwards,A. Edwards driving Layup (2 PTS),,3pt missed,2,Medium
22200193,9,3pt,1,PT11M41.00S,11:41,Q1 11:41,0,2,1610612739.0,Love,MISS K. Love 30' 3PT,2pt made,rebound,2,Medium
22200193,10,rebound,1,PT11M37.00S,11:37,Q1 11:37,0,2,1610612750.0,Edwards,A. Edwards REBOUND (Off:0 Def:1),3pt missed,3pt missed,2,Medium
22200193,11,3pt,1,PT11M24.00S,11:24,Q1 11:24,0,2,1610612750.0,McDaniels,MISS J. McDaniels 25' 3PT,rebound,rebound,2,Medium
22200193,12,rebound,1,PT11M20.00S,11:20,Q1 11:20,0,2,1610612739.0,Stevens,L. Stevens REBOUND (Off:0 Def:1),3pt missed,3pt missed,2,Medium
22200193,13,3pt,1,PT11M08.00S,11:08,Q1 11:08,0,2,1610612739.0,Love,MISS K. Love 26' pullup 3PT,rebound,rebound,2,Medium
22200193,14,rebound,1,PT11M05.00S,11:05,Q1 11:05,0,2,1610612750.0,Gobert,R. Gobert REBOUND (Off:0 Def:1),3pt missed,3pt missed,2,Medium
22200193,15,3pt,1,PT10M54.00S,10:54,Q1 10:54,0,2,1610612750.0,Towns,MISS K. Towns 25' 3PT,rebound,rebound,2,Medium
22200193,16,rebound,1,PT10M52.00S,10:52,Q1 10:52,0,2,1610612739.0,,TEAM defensive REBOUND,3pt missed,3pt made,2,Medium
22200193,18,3pt,1,PT10M35.00S,10:35,Q1 10:35,3,2,1610612739.0,LeVert,C. LeVert 3PT  (3 PTS) (D. Garland 1 AST),rebound,2pt made,1,Medium
22200193,20,2pt,1,PT10M13.00S,10:13,Q1 10:13,3,4,1610612750.0,Russell,D. Russell 16' fadeaway Jump Shot (2 PTS),3pt made,foul,1,Medium
22200193,21,foul,1,PT10M06.00S,10:06,Q1 10:06,3,4,1610612750.0,Edwards,A. Edwards personal FOUL (1 PF),2pt made,3pt missed,1,Medium
22200193,23,3pt,1,PT09M52.00S,09:52,Q1 09:52,3,4,1610612739.0,Garland,MISS D. Garland 31' pullup 3PT,foul,rebound,1,Medium
22200193,24,rebound,1,PT09M50.00S,09:50,Q1 09:50,3,4,1610612739.0,Garland,D. Garland REBOUND (Off:1 Def:0),3pt missed,3pt made,1,Medium
22200193,25,3pt,1,PT09M47.00S,09:47,Q1 09:47,6,4,1610612739.0,Garland,D. Garland 28' 3PT  (3 PTS),rebound,3pt missed,2,Medium
22200193,26,3pt,1,PT09M39.00S,09:39,Q1 09:39,6,4,1610612750.0,Towns,MISS K. Towns 27' 3PT,3pt made,rebound,2,Medium
22200193,27,rebound,1,PT09M36.00S,09:36,Q1 09:36,6,4,1610612739.0,Mobley,E. Mobley REBOUND (Off:0 Def:1),3pt missed,foul,2,Medium
22200193,28,foul,1,PT09M31.00S,09:31,Q1 09:31,6,4,1610612750.0,Gobert,R. Gobert shooting personal FOUL (1 PF) (Mobley 2 FT),rebound,freethrow,2,Medium
22200193,30,freethrow,1,PT09M31.00S,09:31,Q1 09:31,6,4,1610612739.0,Mobley,MISS E. Mobley Free Throw 1 of 2,foul,rebound,2,Medium
22200193,31,rebound,1,PT09M31.00S,09:31,Q1 09:31,6,4,1610612739.0,,TEAM offensive REBOUND,freethrow,freethrow,2,Medium
22200193,32,freethrow,1,PT09M31.00S,09:31,Q1 09:31,6,4,1610612739.0,Mobley,MISS E. Mobley Free Throw 2 of 2,rebound,rebound,2,Medium
22200193,33,rebound,1,PT09M28.00S,09:28,Q1 09:28,6,4,1610612750.0,Gobert,R. Gobert REBOUND (Off:0 Def:2),freethrow,2pt made,2,Medium
22200193,34,2pt,1,PT09M12.00S,09:12,Q1 09:12,6,6,1610612750.0,Russell,D. Russell 15' pullup Jump Shot (4 PTS),rebound,2pt missed,0,Medium
22200193,35,2pt,1,PT08M57.00S,08:57,Q1 08:57,6,6,1610612739.0,LeVert,MISS C. LeVert 10' driving floating Shot,2pt made,rebound,0,Medium
22200193,36,rebound,1,PT08M55.00S,08:55,Q1 08:55,6,6,1610612739.0,LeVert,C. LeVert REBOUND (Off:1 Def:0),2pt missed,3pt made,0,Medium
